Źródło,"Odsetek opiekunów, którzy wzięli psa ze schroniska",Link,Komentarz,Dodatkowe info
Badanie Karmimy Psiaki i agencji Minds & Roses,17%,https://karmimypsiaki.com.pl/blog/polacy-wobec-bezdomnych-zwierzat-badanie-karmimy-psiaki-i-agencji-minds-roses/,,"9% badanych przyznało, że zwierzę zostało znalezione"
State of Pet Homelessness - dane z 2022/2023 r.,11%,https://cms.stateofpethomelessness.com/s3media/2024-01/SoPH-Poland.pdf?VersionId=cG.R9DSm1uogH_YA2ke8frLtJdyKhDh1,Strona 7,
