"Ponieważ w Polsce nie wprowadzono powszechnego obowiązku znakowania i rejestrowania psów i kotów, brak jest oficjalnych danych na temat ich populacji. Poniższe dane to estymacje z dwóch różnych źródeł, na które powołuje się m.in. NIK w swoich analizach.","https://www.nik.gov.pl/plik/id,30164,vp,33186.pdf",,,
,,,,
Źródło,Liczba psów w Polsce,Link,Komentarz,Dodatkowe info
The Voice of the European Pet Food Industry - dane 2023 r.,8440000,https://europeanpetfood.org/wp-content/uploads/2025/06/FEDIAF-Facts-Figures-2025.pdf,Strona 5,Liczba kotów – 7546000
State of Pet Homelessness - dane z 2022/2023 r.,7090000,https://cms.stateofpethomelessness.com/s3media/2024-01/SoPH-Poland.pdf?VersionId=cG.R9DSm1uogH_YA2ke8frLtJdyKhDh1,Strona 3,Liczba kotów – 5250000
