Rok,Liczba zgłoszeń do projektu #Adopsiaki,Rodziny objęte wsparciem w projekcie #Adopsiaki,"Lokalizacje, w których trenerzy udzielali wsparcia w projekcie #Adopsiaki (kumulatywnie od początku działania Fundacji)","Liczba dzieci w szkołach i przedszkolach, które wzięły udział w warsztatach edukacyjnych",Liczba placówek objętych warsztatami,"Lokalizacje placówek, w których odbyły się warsztaty","Liczba firm, w których odbyły się warsztaty/webinary Dog Friendly Company",Lokalizacje warsztatów/eventów dla firm,Liczba wolontariuszy w Fundacji (stan na koniec roku),Obserwujący LinkedIn (stan na koniec roku),Obserwujący Facebook (stan na koniec roku),Obserwujący Instagram (stan na koniec roku),Liczba regularnych darczyńców (stan na koniec roku)
2023,59,11,"Warszawa, Łódź, Brzeziny, Wrocław",2726,44,,5,,7,1214,1242,1279,18
2024,77,45,"Warszawa, Łódź, Brzeziny, Wrocław",2835,35,,9,,12,1834,1537,1630,22
2025,126,63,"Wrocław, Warszawa, Łódź, Brzeziny, Gdańsk, Myszków, Gliwice, Bytom, Tarnowskie Góry, Opole, Jelenia Góra, Pabianice, Poddębice",4846,62,"od początku działania Fundacji: wojewodztwa łodzkie, mazowieckie, śląskie dolnośląskie, lubelskie, zachodniopomorskie, warmińsko mazurskie, wielkopolskie,opolskie",14,"od początku działania Fundacji: Łódź, Warszawa, Wrocław Opole, Szczecin, Gdańsk, Lublin, Bydgoszcz, Kielce",16,2140,1976,1891,31
do 02.2026 włącznie,30,3,"Wrocław, Warszawa, Łódź, Brzeziny, Gdańsk, Myszków, Gliwice, Bytom, Tarnowskie Góry, Opole, Jelenia Góra, Pabianice, Poddębice, Kraków, Tarnów",385,5,,2,,,,,,
